Date,Item,Sales (Qty),Weather,Event,Sales (Qty)_lag_1,Sales (Qty)_lag_2,Sales (Qty)_lag_3,Sales (Qty)_lag_4,Sales (Qty)_lag_5,Sales (Qty)_lag_6,Sales (Qty)_lag_7,Day of Week,Month
2023-01-01,Burger,59,Rainy,Festival,54.0,43.0,41.0,69.0,52.0,55.0,49.0,6,1
2023-01-01,Burger,61,Sunny,None,59.0,54.0,43.0,41.0,69.0,52.0,55.0,6,1
2023-01-01,Pasta,34,Cloudy,Holiday,61.0,59.0,54.0,43.0,41.0,69.0,52.0,6,1
2023-01-01,Burger,67,Sunny,Holiday,34.0,61.0,59.0,54.0,43.0,41.0,69.0,6,1
2023-01-01,Pizza,56,Sunny,None,67.0,34.0,61.0,59.0,54.0,43.0,41.0,6,1
2023-01-01,Burger,49,Rainy,Festival,56.0,67.0,34.0,61.0,59.0,54.0,43.0,6,1
2023-01-01,Burger,49,Rainy,Holiday,49.0,56.0,67.0,34.0,61.0,59.0,54.0,6,1
2023-01-01,Pizza,44,Sunny,Holiday,49.0,49.0,56.0,67.0,34.0,61.0,59.0,6,1
2023-01-01,Pizza,55,Rainy,None,44.0,49.0,49.0,56.0,67.0,34.0,61.0,6,1
2023-01-01,Burger,38,Sunny,None,55.0,44.0,49.0,49.0,56.0,67.0,34.0,6,1
2023-01-01,Burger,49,Sunny,Holiday,38.0,55.0,44.0,49.0,49.0,56.0,67.0,6,1
2023-01-01,Burger,48,Rainy,None,49.0,38.0,55.0,44.0,49.0,49.0,56.0,6,1
2023-01-01,Pizza,59,Sunny,Festival,48.0,49.0,38.0,55.0,44.0,49.0,49.0,6,1
2023-01-01,Pasta,51,Sunny,Festival,59.0,48.0,49.0,38.0,55.0,44.0,49.0,6,1
2023-01-01,Burger,55,Rainy,None,51.0,59.0,48.0,49.0,38.0,55.0,44.0,6,1
2023-01-01,Pasta,52,Rainy,None,55.0,51.0,59.0,48.0,49.0,38.0,55.0,6,1
2023-01-01,Burger,43,Cloudy,Festival,52.0,55.0,51.0,59.0,48.0,49.0,38.0,6,1
2023-01-01,Pizza,51,Cloudy,Festival,43.0,52.0,55.0,51.0,59.0,48.0,49.0,6,1
2023-01-01,Pizza,55,Cloudy,None,51.0,43.0,52.0,55.0,51.0,59.0,48.0,6,1
2023-01-02,Pasta,56,Rainy,Holiday,55.0,51.0,43.0,52.0,55.0,51.0,59.0,0,1
2023-01-02,Pasta,50,Cloudy,None,56.0,55.0,51.0,43.0,52.0,55.0,51.0,0,1
2023-01-02,Pasta,40,Rainy,Holiday,50.0,56.0,55.0,51.0,43.0,52.0,55.0,0,1
2023-01-02,Pasta,66,Sunny,Festival,40.0,50.0,56.0,55.0,51.0,43.0,52.0,0,1
2023-01-02,Pasta,39,Sunny,Holiday,66.0,40.0,50.0,56.0,55.0,51.0,43.0,0,1
2023-01-02,Pasta,53,Rainy,Holiday,39.0,66.0,40.0,50.0,56.0,55.0,51.0,0,1
2023-01-02,Pasta,48,Rainy,Holiday,53.0,39.0,66.0,40.0,50.0,56.0,55.0,0,1
2023-01-02,Pizza,60,Cloudy,Festival,48.0,53.0,39.0,66.0,40.0,50.0,56.0,0,1
2023-01-02,Pasta,48,Rainy,Festival,60.0,48.0,53.0,39.0,66.0,40.0,50.0,0,1
2023-01-02,Pizza,48,Rainy,None,48.0,60.0,48.0,53.0,39.0,66.0,40.0,0,1
2023-01-02,Pizza,56,Cloudy,None,48.0,48.0,60.0,48.0,53.0,39.0,66.0,0,1
2023-01-02,Pizza,51,Sunny,Holiday,56.0,48.0,48.0,60.0,48.0,53.0,39.0,0,1
2023-01-02,Pizza,52,Sunny,Holiday,51.0,56.0,48.0,48.0,60.0,48.0,53.0,0,1
2023-01-02,Pasta,38,Sunny,Festival,52.0,51.0,56.0,48.0,48.0,60.0,48.0,0,1
2023-01-02,Pizza,62,Rainy,Holiday,38.0,52.0,51.0,56.0,48.0,48.0,60.0,0,1
2023-01-02,Pasta,43,Sunny,Holiday,62.0,38.0,52.0,51.0,56.0,48.0,48.0,0,1
2023-01-02,Pizza,44,Rainy,Holiday,43.0,62.0,38.0,52.0,51.0,56.0,48.0,0,1
2023-01-02,Burger,58,Sunny,None,44.0,43.0,62.0,38.0,52.0,51.0,56.0,0,1
2023-01-02,Pizza,56,Rainy,None,58.0,44.0,43.0,62.0,38.0,52.0,51.0,0,1
2023-01-02,Pizza,42,Sunny,None,56.0,58.0,44.0,43.0,62.0,38.0,52.0,0,1
2023-01-02,Pasta,50,Cloudy,Holiday,42.0,56.0,58.0,44.0,43.0,62.0,38.0,0,1
2023-01-02,Burger,58,Cloudy,Festival,50.0,42.0,56.0,58.0,44.0,43.0,62.0,0,1
2023-01-02,Pizza,48,Cloudy,Festival,58.0,50.0,42.0,56.0,58.0,44.0,43.0,0,1
2023-01-02,Pasta,53,Rainy,Festival,48.0,58.0,50.0,42.0,56.0,58.0,44.0,0,1
2023-01-02,Pizza,56,Cloudy,Festival,53.0,48.0,58.0,50.0,42.0,56.0,58.0,0,1
2023-01-02,Pasta,36,Cloudy,Festival,56.0,53.0,48.0,58.0,50.0,42.0,56.0,0,1
2023-01-02,Pasta,59,Sunny,None,36.0,56.0,53.0,48.0,58.0,50.0,42.0,0,1
2023-01-02,Burger,49,Cloudy,Holiday,59.0,36.0,56.0,53.0,48.0,58.0,50.0,0,1
2023-01-02,Burger,48,Cloudy,None,49.0,59.0,36.0,56.0,53.0,48.0,58.0,0,1
2023-01-02,Pizza,52,Rainy,Festival,48.0,49.0,59.0,36.0,56.0,53.0,48.0,0,1
2023-01-02,Burger,49,Rainy,Holiday,52.0,48.0,49.0,59.0,36.0,56.0,53.0,0,1
2023-01-02,Pasta,49,Sunny,Holiday,49.0,52.0,48.0,49.0,59.0,36.0,56.0,0,1
2023-01-02,Burger,47,Rainy,None,49.0,49.0,52.0,48.0,49.0,59.0,36.0,0,1
2023-01-02,Burger,52,Rainy,None,47.0,49.0,49.0,52.0,48.0,49.0,59.0,0,1
2023-01-02,Burger,46,Sunny,Festival,52.0,47.0,49.0,49.0,52.0,48.0,49.0,0,1
2023-01-02,Pasta,48,Sunny,Festival,46.0,52.0,47.0,49.0,49.0,52.0,48.0,0,1
2023-01-02,Burger,62,Sunny,None,48.0,46.0,52.0,47.0,49.0,49.0,52.0,0,1
2023-01-02,Burger,53,Rainy,Holiday,62.0,48.0,46.0,52.0,47.0,49.0,49.0,0,1
2023-01-03,Pasta,44,Rainy,Festival,53.0,62.0,48.0,46.0,52.0,47.0,49.0,1,1
2023-01-03,Pasta,57,Rainy,Holiday,44.0,53.0,62.0,48.0,46.0,52.0,47.0,1,1
2023-01-03,Burger,51,Sunny,None,57.0,44.0,53.0,62.0,48.0,46.0,52.0,1,1
2023-01-03,Pizza,50,Cloudy,Holiday,51.0,57.0,44.0,53.0,62.0,48.0,46.0,1,1
2023-01-03,Pasta,56,Sunny,Festival,50.0,51.0,57.0,44.0,53.0,62.0,48.0,1,1
2023-01-03,Pizza,49,Cloudy,Festival,56.0,50.0,51.0,57.0,44.0,53.0,62.0,1,1
2023-01-03,Burger,54,Cloudy,Holiday,49.0,56.0,50.0,51.0,57.0,44.0,53.0,1,1
2023-01-03,Pizza,40,Cloudy,Holiday,54.0,49.0,56.0,50.0,51.0,57.0,44.0,1,1
2023-01-03,Pasta,50,Cloudy,None,40.0,54.0,49.0,56.0,50.0,51.0,57.0,1,1
2023-01-03,Pasta,47,Sunny,None,50.0,40.0,54.0,49.0,56.0,50.0,51.0,1,1
2023-01-03,Burger,46,Rainy,Holiday,47.0,50.0,40.0,54.0,49.0,56.0,50.0,1,1
2023-01-03,Pasta,70,Sunny,Holiday,46.0,47.0,50.0,40.0,54.0,49.0,56.0,1,1
2023-01-03,Pizza,46,Cloudy,Holiday,70.0,46.0,47.0,50.0,40.0,54.0,49.0,1,1
2023-01-03,Pizza,53,Sunny,Festival,46.0,70.0,46.0,47.0,50.0,40.0,54.0,1,1
2023-01-03,Pizza,43,Sunny,None,53.0,46.0,70.0,46.0,47.0,50.0,40.0,1,1
2023-01-03,Pizza,56,Rainy,Festival,43.0,53.0,46.0,70.0,46.0,47.0,50.0,1,1
2023-01-03,Pasta,46,Cloudy,Festival,56.0,43.0,53.0,46.0,70.0,46.0,47.0,1,1
2023-01-03,Pizza,44,Cloudy,None,46.0,56.0,43.0,53.0,46.0,70.0,46.0,1,1
2023-01-03,Pizza,46,Rainy,Holiday,44.0,46.0,56.0,43.0,53.0,46.0,70.0,1,1
2023-01-03,Pasta,52,Cloudy,Holiday,46.0,44.0,46.0,56.0,43.0,53.0,46.0,1,1
2023-01-03,Pasta,42,Sunny,Holiday,52.0,46.0,44.0,46.0,56.0,43.0,53.0,1,1
2023-01-03,Burger,51,Cloudy,Holiday,42.0,52.0,46.0,44.0,46.0,56.0,43.0,1,1
2023-01-03,Pasta,51,Rainy,None,51.0,42.0,52.0,46.0,44.0,46.0,56.0,1,1
2023-01-03,Pasta,52,Sunny,Holiday,51.0,51.0,42.0,52.0,46.0,44.0,46.0,1,1
2023-01-03,Pizza,47,Rainy,Festival,52.0,51.0,51.0,42.0,52.0,46.0,44.0,1,1
2023-01-03,Burger,55,Cloudy,Holiday,47.0,52.0,51.0,51.0,42.0,52.0,46.0,1,1
2023-01-03,Pizza,55,Rainy,None,55.0,47.0,52.0,51.0,51.0,42.0,52.0,1,1
2023-01-03,Pizza,52,Sunny,None,55.0,55.0,47.0,52.0,51.0,51.0,42.0,1,1
2023-01-03,Burger,39,Rainy,Festival,52.0,55.0,55.0,47.0,52.0,51.0,51.0,1,1
2023-01-03,Pasta,42,Cloudy,Holiday,39.0,52.0,55.0,55.0,47.0,52.0,51.0,1,1
2023-01-03,Burger,32,Sunny,Holiday,42.0,39.0,52.0,55.0,55.0,47.0,52.0,1,1
2023-01-03,Pasta,43,Sunny,Holiday,32.0,42.0,39.0,52.0,55.0,55.0,47.0,1,1
2023-01-03,Burger,38,Rainy,None,43.0,32.0,42.0,39.0,52.0,55.0,55.0,1,1
2023-01-03,Pasta,45,Sunny,Holiday,38.0,43.0,32.0,42.0,39.0,52.0,55.0,1,1
2023-01-03,Pasta,52,Cloudy,Holiday,45.0,38.0,43.0,32.0,42.0,39.0,52.0,1,1
2023-01-03,Pizza,49,Cloudy,Holiday,52.0,45.0,38.0,43.0,32.0,42.0,39.0,1,1
2023-01-03,Burger,48,Rainy,Holiday,49.0,52.0,45.0,38.0,43.0,32.0,42.0,1,1
2023-01-04,Pizza,49,Rainy,Holiday,48.0,49.0,52.0,45.0,38.0,43.0,32.0,2,1
2023-01-04,Burger,36,Sunny,None,49.0,48.0,49.0,52.0,45.0,38.0,43.0,2,1
2023-01-04,Pasta,47,Cloudy,None,36.0,49.0,48.0,49.0,52.0,45.0,38.0,2,1
2023-01-04,Pasta,47,Sunny,Holiday,47.0,36.0,49.0,48.0,49.0,52.0,45.0,2,1
2023-01-04,Burger,47,Rainy,None,47.0,47.0,36.0,49.0,48.0,49.0,52.0,2,1
2023-01-04,Pizza,53,Rainy,Holiday,47.0,47.0,47.0,36.0,49.0,48.0,49.0,2,1
2023-01-04,Pizza,51,Sunny,Festival,53.0,47.0,47.0,47.0,36.0,49.0,48.0,2,1
2023-01-04,Burger,58,Rainy,Festival,51.0,53.0,47.0,47.0,47.0,36.0,49.0,2,1
2023-01-04,Pizza,44,Sunny,Festival,58.0,51.0,53.0,47.0,47.0,47.0,36.0,2,1
2023-01-04,Burger,59,Rainy,None,44.0,58.0,51.0,53.0,47.0,47.0,47.0,2,1
2023-01-04,Pizza,46,Sunny,Holiday,59.0,44.0,58.0,51.0,53.0,47.0,47.0,2,1
2023-01-04,Pasta,57,Sunny,Festival,46.0,59.0,44.0,58.0,51.0,53.0,47.0,2,1
2023-01-04,Pasta,52,Sunny,Festival,57.0,46.0,59.0,44.0,58.0,51.0,53.0,2,1
2023-01-04,Burger,35,Sunny,Festival,52.0,57.0,46.0,59.0,44.0,58.0,51.0,2,1
2023-01-04,Pizza,50,Sunny,None,35.0,52.0,57.0,46.0,59.0,44.0,58.0,2,1
2023-01-04,Burger,34,Cloudy,Festival,50.0,35.0,52.0,57.0,46.0,59.0,44.0,2,1
2023-01-04,Burger,49,Rainy,None,34.0,50.0,35.0,52.0,57.0,46.0,59.0,2,1
2023-01-04,Pasta,41,Rainy,None,49.0,34.0,50.0,35.0,52.0,57.0,46.0,2,1
2023-01-04,Pizza,57,Cloudy,None,41.0,49.0,34.0,50.0,35.0,52.0,57.0,2,1
2023-01-04,Burger,53,Rainy,None,57.0,41.0,49.0,34.0,50.0,35.0,52.0,2,1
2023-01-04,Pasta,50,Rainy,None,53.0,57.0,41.0,49.0,34.0,50.0,35.0,2,1
2023-01-04,Pizza,58,Sunny,None,50.0,53.0,57.0,41.0,49.0,34.0,50.0,2,1
2023-01-04,Burger,49,Rainy,Holiday,58.0,50.0,53.0,57.0,41.0,49.0,34.0,2,1
2023-01-04,Burger,51,Rainy,Festival,49.0,58.0,50.0,53.0,57.0,41.0,49.0,2,1
2023-01-04,Pizza,45,Cloudy,Festival,51.0,49.0,58.0,50.0,53.0,57.0,41.0,2,1
2023-01-04,Pizza,54,Rainy,None,45.0,51.0,49.0,58.0,50.0,53.0,57.0,2,1
2023-01-04,Pizza,59,Cloudy,None,54.0,45.0,51.0,49.0,58.0,50.0,53.0,2,1
2023-01-04,Burger,40,Rainy,Festival,59.0,54.0,45.0,51.0,49.0,58.0,50.0,2,1
2023-01-04,Burger,53,Sunny,Holiday,40.0,59.0,54.0,45.0,51.0,49.0,58.0,2,1
2023-01-04,Pizza,51,Rainy,Festival,53.0,40.0,59.0,54.0,45.0,51.0,49.0,2,1
2023-01-04,Burger,56,Sunny,Festival,51.0,53.0,40.0,59.0,54.0,45.0,51.0,2,1
2023-01-04,Pizza,55,Cloudy,None,56.0,51.0,53.0,40.0,59.0,54.0,45.0,2,1
2023-01-04,Pizza,47,Cloudy,None,55.0,56.0,51.0,53.0,40.0,59.0,54.0,2,1
2023-01-04,Burger,60,Rainy,Festival,47.0,55.0,56.0,51.0,53.0,40.0,59.0,2,1
2023-01-04,Pasta,46,Cloudy,Festival,60.0,47.0,55.0,56.0,51.0,53.0,40.0,2,1
2023-01-04,Pizza,51,Cloudy,Festival,46.0,60.0,47.0,55.0,56.0,51.0,53.0,2,1
2023-01-04,Burger,44,Sunny,Holiday,51.0,46.0,60.0,47.0,55.0,56.0,51.0,2,1
2023-01-05,Pizza,49,Cloudy,None,44.0,51.0,46.0,60.0,47.0,55.0,56.0,3,1
2023-01-05,Pasta,54,Sunny,None,49.0,44.0,51.0,46.0,60.0,47.0,55.0,3,1
2023-01-05,Pasta,42,Sunny,Festival,54.0,49.0,44.0,51.0,46.0,60.0,47.0,3,1
2023-01-05,Pasta,56,Sunny,None,42.0,54.0,49.0,44.0,51.0,46.0,60.0,3,1
2023-01-05,Pizza,44,Rainy,None,56.0,42.0,54.0,49.0,44.0,51.0,46.0,3,1
2023-01-05,Pasta,39,Sunny,None,44.0,56.0,42.0,54.0,49.0,44.0,51.0,3,1
2023-01-05,Burger,41,Sunny,Festival,39.0,44.0,56.0,42.0,54.0,49.0,44.0,3,1
2023-01-05,Burger,41,Sunny,Festival,41.0,39.0,44.0,56.0,42.0,54.0,49.0,3,1
2023-01-05,Pasta,34,Sunny,Festival,41.0,41.0,39.0,44.0,56.0,42.0,54.0,3,1
2023-01-05,Burger,40,Sunny,Holiday,34.0,41.0,41.0,39.0,44.0,56.0,42.0,3,1
2023-01-05,Pasta,70,Cloudy,Festival,40.0,34.0,41.0,41.0,39.0,44.0,56.0,3,1
2023-01-05,Pasta,47,Cloudy,None,70.0,40.0,34.0,41.0,41.0,39.0,44.0,3,1
2023-01-05,Burger,56,Rainy,Festival,47.0,70.0,40.0,34.0,41.0,41.0,39.0,3,1
2023-01-05,Pasta,48,Cloudy,Holiday,56.0,47.0,70.0,40.0,34.0,41.0,41.0,3,1
2023-01-05,Pizza,64,Sunny,Festival,48.0,56.0,47.0,70.0,40.0,34.0,41.0,3,1
2023-01-05,Burger,45,Sunny,Holiday,64.0,48.0,56.0,47.0,70.0,40.0,34.0,3,1
2023-01-05,Burger,58,Rainy,None,45.0,64.0,48.0,56.0,47.0,70.0,40.0,3,1
2023-01-05,Pasta,49,Cloudy,Holiday,58.0,45.0,64.0,48.0,56.0,47.0,70.0,3,1
2023-01-05,Pizza,49,Cloudy,Holiday,49.0,58.0,45.0,64.0,48.0,56.0,47.0,3,1
2023-01-05,Pizza,53,Cloudy,Holiday,49.0,49.0,58.0,45.0,64.0,48.0,56.0,3,1
2023-01-05,Pasta,49,Sunny,Holiday,53.0,49.0,49.0,58.0,45.0,64.0,48.0,3,1
2023-01-05,Burger,48,Cloudy,None,49.0,53.0,49.0,49.0,58.0,45.0,64.0,3,1
2023-01-05,Pasta,46,Cloudy,None,48.0,49.0,53.0,49.0,49.0,58.0,45.0,3,1
2023-01-05,Pasta,42,Rainy,Holiday,46.0,48.0,49.0,53.0,49.0,49.0,58.0,3,1
2023-01-05,Pizza,46,Cloudy,Holiday,42.0,46.0,48.0,49.0,53.0,49.0,49.0,3,1
2023-01-05,Pasta,44,Sunny,Holiday,46.0,42.0,46.0,48.0,49.0,53.0,49.0,3,1
2023-01-05,Pizza,48,Sunny,Holiday,44.0,46.0,42.0,46.0,48.0,49.0,53.0,3,1
2023-01-05,Pasta,49,Sunny,None,48.0,44.0,46.0,42.0,46.0,48.0,49.0,3,1
2023-01-05,Pizza,38,Sunny,Festival,49.0,48.0,44.0,46.0,42.0,46.0,48.0,3,1
2023-01-05,Burger,35,Rainy,None,38.0,49.0,48.0,44.0,46.0,42.0,46.0,3,1
2023-01-05,Burger,40,Cloudy,Festival,35.0,38.0,49.0,48.0,44.0,46.0,42.0,3,1
2023-01-05,Pasta,44,Sunny,Festival,40.0,35.0,38.0,49.0,48.0,44.0,46.0,3,1
2023-01-05,Burger,56,Cloudy,Festival,44.0,40.0,35.0,38.0,49.0,48.0,44.0,3,1
2023-01-05,Burger,55,Sunny,Festival,56.0,44.0,40.0,35.0,38.0,49.0,48.0,3,1
2023-01-05,Burger,45,Sunny,None,55.0,56.0,44.0,40.0,35.0,38.0,49.0,3,1
2023-01-05,Pizza,45,Sunny,None,45.0,55.0,56.0,44.0,40.0,35.0,38.0,3,1
2023-01-05,Pasta,60,Cloudy,Holiday,45.0,45.0,55.0,56.0,44.0,40.0,35.0,3,1
2023-01-05,Pizza,47,Sunny,Festival,60.0,45.0,45.0,55.0,56.0,44.0,40.0,3,1
2023-01-05,Burger,59,Sunny,None,47.0,60.0,45.0,45.0,55.0,56.0,44.0,3,1
2023-01-05,Pizza,53,Cloudy,Holiday,59.0,47.0,60.0,45.0,45.0,55.0,56.0,3,1
2023-01-05,Pasta,57,Sunny,Holiday,53.0,59.0,47.0,60.0,45.0,45.0,55.0,3,1
2023-01-06,Burger,50,Sunny,None,57.0,53.0,59.0,47.0,60.0,45.0,45.0,4,1
2023-01-06,Pasta,38,Cloudy,None,50.0,57.0,53.0,59.0,47.0,60.0,45.0,4,1
2023-01-06,Burger,50,Sunny,None,38.0,50.0,57.0,53.0,59.0,47.0,60.0,4,1
2023-01-06,Pasta,54,Cloudy,Holiday,50.0,38.0,50.0,57.0,53.0,59.0,47.0,4,1
2023-01-06,Pasta,50,Cloudy,None,54.0,50.0,38.0,50.0,57.0,53.0,59.0,4,1
2023-01-06,Burger,51,Rainy,None,50.0,54.0,50.0,38.0,50.0,57.0,53.0,4,1
2023-01-06,Pasta,64,Cloudy,Holiday,51.0,50.0,54.0,50.0,38.0,50.0,57.0,4,1
2023-01-06,Burger,56,Rainy,Festival,64.0,51.0,50.0,54.0,50.0,38.0,50.0,4,1
2023-01-06,Burger,54,Rainy,None,56.0,64.0,51.0,50.0,54.0,50.0,38.0,4,1
2023-01-06,Pasta,43,Cloudy,Holiday,54.0,56.0,64.0,51.0,50.0,54.0,50.0,4,1
2023-01-06,Burger,53,Cloudy,None,43.0,54.0,56.0,64.0,51.0,50.0,54.0,4,1
2023-01-06,Pizza,52,Cloudy,None,53.0,43.0,54.0,56.0,64.0,51.0,50.0,4,1
2023-01-06,Burger,53,Rainy,Festival,52.0,53.0,43.0,54.0,56.0,64.0,51.0,4,1
2023-01-06,Pasta,60,Sunny,Holiday,53.0,52.0,53.0,43.0,54.0,56.0,64.0,4,1
2023-01-06,Pizza,56,Cloudy,Holiday,60.0,53.0,52.0,53.0,43.0,54.0,56.0,4,1
2023-01-06,Pizza,47,Rainy,Holiday,56.0,60.0,53.0,52.0,53.0,43.0,54.0,4,1
2023-01-06,Pizza,50,Rainy,Festival,47.0,56.0,60.0,53.0,52.0,53.0,43.0,4,1
2023-01-06,Pasta,56,Cloudy,Festival,50.0,47.0,56.0,60.0,53.0,52.0,53.0,4,1
2023-01-06,Burger,58,Sunny,Festival,56.0,50.0,47.0,56.0,60.0,53.0,52.0,4,1
2023-01-06,Pasta,44,Cloudy,Holiday,58.0,56.0,50.0,47.0,56.0,60.0,53.0,4,1
2023-01-06,Pizza,48,Rainy,Holiday,44.0,58.0,56.0,50.0,47.0,56.0,60.0,4,1
2023-01-06,Burger,61,Rainy,Festival,48.0,44.0,58.0,56.0,50.0,47.0,56.0,4,1
2023-01-06,Burger,50,Rainy,Holiday,61.0,48.0,44.0,58.0,56.0,50.0,47.0,4,1
2023-01-06,Pizza,51,Sunny,Festival,50.0,61.0,48.0,44.0,58.0,56.0,50.0,4,1
2023-01-06,Burger,58,Cloudy,Festival,51.0,50.0,61.0,48.0,44.0,58.0,56.0,4,1
2023-01-06,Burger,50,Rainy,None,58.0,51.0,50.0,61.0,48.0,44.0,58.0,4,1
2023-01-06,Pasta,42,Rainy,Festival,50.0,58.0,51.0,50.0,61.0,48.0,44.0,4,1
2023-01-06,Pizza,56,Rainy,Festival,42.0,50.0,58.0,51.0,50.0,61.0,48.0,4,1
2023-01-06,Pizza,31,Rainy,None,56.0,42.0,50.0,58.0,51.0,50.0,61.0,4,1
2023-01-06,Pizza,63,Cloudy,Festival,31.0,56.0,42.0,50.0,58.0,51.0,50.0,4,1
2023-01-06,Pasta,37,Cloudy,Festival,63.0,31.0,56.0,42.0,50.0,58.0,51.0,4,1
2023-01-06,Pizza,50,Sunny,None,37.0,63.0,31.0,56.0,42.0,50.0,58.0,4,1
2023-01-06,Burger,49,Cloudy,Holiday,50.0,37.0,63.0,31.0,56.0,42.0,50.0,4,1
2023-01-06,Pizza,44,Rainy,Holiday,49.0,50.0,37.0,63.0,31.0,56.0,42.0,4,1
2023-01-06,Pasta,63,Sunny,Festival,44.0,49.0,50.0,37.0,63.0,31.0,56.0,4,1
2023-01-06,Burger,58,Cloudy,None,63.0,44.0,49.0,50.0,37.0,63.0,31.0,4,1
2023-01-07,Burger,56,Rainy,Holiday,58.0,63.0,44.0,49.0,50.0,37.0,63.0,5,1
2023-01-07,Pasta,47,Rainy,Festival,56.0,58.0,63.0,44.0,49.0,50.0,37.0,5,1
2023-01-07,Burger,50,Sunny,Festival,47.0,56.0,58.0,63.0,44.0,49.0,50.0,5,1
2023-01-07,Pizza,56,Cloudy,None,50.0,47.0,56.0,58.0,63.0,44.0,49.0,5,1
2023-01-07,Burger,48,Rainy,None,56.0,50.0,47.0,56.0,58.0,63.0,44.0,5,1
2023-01-07,Burger,39,Sunny,None,48.0,56.0,50.0,47.0,56.0,58.0,63.0,5,1
2023-01-07,Burger,50,Rainy,Festival,39.0,48.0,56.0,50.0,47.0,56.0,58.0,5,1
2023-01-07,Burger,41,Sunny,None,50.0,39.0,48.0,56.0,50.0,47.0,56.0,5,1
2023-01-07,Burger,50,Cloudy,Festival,41.0,50.0,39.0,48.0,56.0,50.0,47.0,5,1
2023-01-07,Pasta,50,Cloudy,Festival,50.0,41.0,50.0,39.0,48.0,56.0,50.0,5,1
2023-01-07,Burger,43,Cloudy,Festival,50.0,50.0,41.0,50.0,39.0,48.0,56.0,5,1
2023-01-07,Pasta,50,Sunny,Holiday,43.0,50.0,50.0,41.0,50.0,39.0,48.0,5,1
2023-01-07,Pasta,49,Sunny,None,50.0,43.0,50.0,50.0,41.0,50.0,39.0,5,1
2023-01-07,Pasta,46,Rainy,Holiday,49.0,50.0,43.0,50.0,50.0,41.0,50.0,5,1
2023-01-07,Pasta,49,Sunny,None,46.0,49.0,50.0,43.0,50.0,50.0,41.0,5,1
2023-01-07,Pizza,55,Cloudy,None,49.0,46.0,49.0,50.0,43.0,50.0,50.0,5,1
2023-01-07,Burger,43,Cloudy,Holiday,55.0,49.0,46.0,49.0,50.0,43.0,50.0,5,1
2023-01-07,Burger,55,Rainy,None,43.0,55.0,49.0,46.0,49.0,50.0,43.0,5,1
2023-01-07,Burger,56,Cloudy,Festival,55.0,43.0,55.0,49.0,46.0,49.0,50.0,5,1
2023-01-07,Pizza,55,Rainy,Festival,56.0,55.0,43.0,55.0,49.0,46.0,49.0,5,1
2023-01-07,Burger,47,Sunny,Festival,55.0,56.0,55.0,43.0,55.0,49.0,46.0,5,1
2023-01-07,Burger,41,Rainy,Festival,47.0,55.0,56.0,55.0,43.0,55.0,49.0,5,1
2023-01-07,Pasta,47,Rainy,None,41.0,47.0,55.0,56.0,55.0,43.0,55.0,5,1
2023-01-07,Pasta,41,Rainy,Festival,47.0,41.0,47.0,55.0,56.0,55.0,43.0,5,1
2023-01-07,Pizza,58,Sunny,Holiday,41.0,47.0,41.0,47.0,55.0,56.0,55.0,5,1
